Community Area Name,Homicide_rate_per_100k,Homicide,Violence,Property Crimes,Breast cancer in females,Cancer (All Sites),Colorectal Cancer,Diabetes-related,Lung Cancer,Prostate Cancer in Males,Stroke (Cerebrovascular Disease),Birth Rate,General Fertility Rate,Low Birth Weight,Preterm Births,Teen Birth Rate,Below Poverty Level,Dependency,Unemployment
North Lawndale,46.70000000006153,135,22026,19761,45.79999999994093,261.5,34.799999999981125,99.20000000012756,61.70000000009185,54.0,70.20000000010329,20.600000000022433,86.29999999988122,15.300000000022766,15.199999999977386,108.90000000015854,38.6000000000554,40.89999999994247,18.5
North Park,3.0,4,1633,4345,20.39999999999642,143.6999999999738,21.899999999996265,58.90000000001087,34.70000000000637,14.600000000002689,26.700000000004795,10.899999999998373,54.20000000000739,9.699999999998267,10.19999999999821,10.5,12.399999999997867,39.70000000000704,7.5
Norwood Park,4.699999999999085,3,2338,4430,20.700000000004394,180.80000000002624,18.899999999996165,47.29999999999581,44.5,26.40000000000055,45.20000000000656,10.399999999997787,59.59999999998679,4.9000000000009765,8.30000000000178,3.400000000000765,5.900000000000538,40.599999999991496,7.300000000001626
O'Hare,5.6000000000006125,1,1881,5343,20.5,138.5,8.699999999998232,47.3000000000071,37.40000000001081,2.8000000000003062,40.40000000001172,15.799999999995745,70.0,3.5,5.0,15.899999999996016,9.5,26.5,4.699999999998641
Oakland,18.899999999998073,7,1847,1886,20.600000000002247,159.69999999998294,14.5,88.70000000000653,54.5,54.200000000006206,43.7000000000049,17.5,63.90000000000485,13.5,11.5,54.5,38.10000000000389,40.5,26.600000000003053
Portage Park,3.3000000000019836,9,7655,13580,23.300000000012986,168.70000000011206,15.900000000010975,48.19999999996967,44.89999999997658,14.799999999993696,37.899999999989454,14.200000000008194,66.10000000004578,6.899999999995952,8.70000000000602,41.699999999972206,12.299999999992336,34.60000000000267,10.599999999995172
Pullman,32.200000000006675,11,3763,3306,34.599999999995205,262.5,28.09999999999949,78.5,83.80000000001603,92.9000000000164,65.30000000000737,14.299999999999544,66.5,11.199999999997985,12.100000000002515,67.90000000001385,20.100000000003828,42.0,21.0
Riverdale,33.0,27,4268,2530,25.0,258.29999999997716,39.400000000006536,115.89999999999796,86.09999999998439,42.5,80.5999999999849,12.5,46.099999999991034,15.299999999999141,16.5,64.5,61.40000000001253,50.20000000000603,26.39999999999829
Rogers Park,7.700000000006428,26,10661,14425,23.300000000018997,176.90000000014007,25.30000000002117,77.10000000005981,36.699999999970935,21.69999999998304,33.6999999999725,16.400000000013492,62.0,11.0,11.200000000008057,40.80000000003082,22.69999999998173,28.800000000024262,7.5
Roseland,40.89999999994178,111,22755,24706,43.5,258.5,32.0,95.5,70.29999999989495,57.600000000023975,55.60000000003824,14.30000000002161,68.79999999989673,12.199999999982687,12.800000000018684,79.70000000011461,19.5,40.89999999994178,17.800000000026515
